submission_id,number_of_nodes,max_depth,avg_depth,median_depth,percent_deeper_3,percent_deeper_5,percent_deeper_7,avg_branching,max_branching,shape_imbalance
z8t6ol,2912,16,2.387706043956044,1.0,21.25686813186813,9.409340659340659,3.2623626373626373,2.0239880059970017,77,0.18086550977808374
h7qfbl,2523,13,2.325009908838684,1.0,22.19579865239794,10.543004359889022,3.64645263575109,2.210989010989011,55,0.17852328064268538
cszgu3,2923,16,3.3058501539514196,3.0,38.282586383852205,18.029421826890182,7.115976736229901,1.838740458015267,33,0.25724024517333494
11o6c3,4404,24,4.391462306993642,3.0,47.93369663941871,33.15168029064487,21.662125340599456,2.0,99,0.2950214603548785
buiasv,4286,34,3.588194120391974,2.0,33.62109192720485,20.998600093327113,13.299113392440503,1.7515197568389058,50,0.2341044075785775
cdypge,7547,22,2.451172651384656,1.0,22.24725056313767,12.177023983039618,5.671127600371008,1.885064935064935,106,0.1534054707477456
zbuvd1,3378,29,5.217288336293665,4.0,55.09177027827116,37.951450562462995,23.74185908821788,1.7908163265306123,77,0.3530569323614569
10oyra,693,17,2.888888888888889,2.0,26.551226551226552,13.41991341991342,5.772005772005772,2.3207547169811322,29,0.27237461182075046
14gy8i,9724,34,4.268819415878239,3.0,47.95351707116413,31.180584121760592,17.821883998354586,1.7924693520140105,84,0.2591638275500947
yiplwk,7481,19,1.8663280310118968,1.0,12.484961903488838,6.710332843202781,3.6626119502740275,2.1483644859813085,93,0.1253424385295223
zsmz88,4927,26,4.010554089709762,3.0,41.48569108991273,26.344631621676477,17.454840673838035,2.015021459227468,97,0.25716641072170476
e8ip8e,6625,30,3.772679245283019,2.0,39.969811320754715,25.041509433962265,14.535849056603773,1.9950276243093923,93,0.22781549668612086
ca15qi,5253,24,2.4823910146582904,1.0,20.8261945554921,11.536264991433466,6.167904054825814,2.0709677419354837,67,0.16036741608128666
s1b011,6031,25,2.2594926214558115,1.0,19.21737688608854,9.782788923893218,4.228154534903001,2.54289071680376,145,0.14849562344506473
b9a3mo,1662,11,1.94043321299639,1.0,15.583634175691937,5.054151624548736,1.5643802647412757,1.7357357357357357,24,0.16134355866397054
w0pvjz,1434,13,2.2684797768479776,1.0,19.595536959553694,10.599721059972106,5.439330543933054,1.9775280898876404,74,0.1830204731486925
zalhix,9723,37,2.4402962048750387,1.0,20.44636429085673,10.747711611642497,5.821248585827419,1.915759312320917,93,0.1384787476112799
oh9j3b,4106,11,1.6880175353141744,1.0,10.667316122747199,4.7247929858743305,1.2420847540185096,2.4601990049751246,135,0.12907448251763812
dmlcx3,6074,36,3.877839973658215,2.0,36.96081659532433,24.43200526835693,15.83799802436615,1.9643281807372175,110,0.23989054185769554
zk8ys9,6075,13,2.020082304526749,1.0,16.559670781893004,8.938271604938272,4.098765432098766,2.6551181102362205,106,0.1407103991488086
