submission_id,op_reply_count,op_reply_ratio,op_average_depth
daglhs,7,0.0017382666997765085,2.2857142857142856
wp874j,39,0.022298456260720412,3.769230769230769
1087lb,2,0.0002622263012980202,2.0
vnl1hw,0,0.0,
f3asns,0,0.0,
hd12gs,6,0.0034924330616996507,2.5
xuu5zc,5,0.002442598925256473,2.4
wg3euz,3,0.0008493771234428086,2.0
cs0bfh,6,0.0013195513525401364,2.0
ipw5v4,1,0.0005408328826392645,2.0
lqk99w,1,0.0007518796992481203,2.0
xicqfv,13,0.0024150102173509194,2.3076923076923075
hwcqu8,5,0.002261420171867933,2.2
13os3i,21,0.005700325732899023,2.5714285714285716
dtg4jw,4,0.0009407337723424271,3.75
wcnh0v,10,0.0027005130974885228,2.8
ot3iy2,6,0.001978891820580475,2.0
cb6xz4,63,0.009735744089012517,2.492063492063492
tuydop,19,0.007838283828382838,3.526315789473684
11374y,62,0.0124,4.290322580645161
