submission_id,op_reply_count,op_reply_ratio,op_average_depth
z8t6ol,2,0.0006870491240123669,2.0
h7qfbl,0,0.0,
cszgu3,37,0.012662559890485968,2.4324324324324325
11o6c3,1,0.0002271178741766977,1.0
buiasv,0,0.0,
cdypge,0,0.0,
zbuvd1,24,0.0071068996150429374,4.666666666666667
10oyra,11,0.015895953757225433,3.4545454545454546
14gy8i,7,0.0007199424046076314,3.4285714285714284
yiplwk,0,0.0,
zsmz88,1,0.00020300446609825416,2.0
e8ip8e,5,0.0007548309178743961,2.0
ca15qi,18,0.003427265803503427,4.166666666666667
s1b011,2,0.0003316749585406302,2.0
b9a3mo,0,0.0,
w0pvjz,0,0.0,
zalhix,0,0.0,
oh9j3b,1,0.000243605359317905,2.0
dmlcx3,0,0.0,
zk8ys9,0,0.0,
